genus_name common_name height_range_id diameter age_yrs
PRUNUS "KWANZAN FLOWERING CHERRY" 2 13.5 33.67556468172484
PRUNUS "KWANZAN FLOWERING CHERRY" 1 7 33.67556468172484
PRUNUS "KWANZAN FLOWERING CHERRY" 2 15.75 32.876112251882276
PRUNUS "KWANZAN FLOWERING CHERRY" 3 27 33.60164271047228
PRUNUS "KWANZAN FLOWERING CHERRY" 3 20 33.60164271047228
PRUNUS "KWANZAN FLOWERING CHERRY" 3 20 33.60164271047228
PRUNUS "KWANZAN FLOWERING CHERRY" 2 11 33.57700205338809
PRUNUS "KWANZAN FLOWERING CHERRY" 2 12.5 32.8952772073922
PRUNUS "KWANZAN FLOWERING CHERRY" 2 19 32.917180013689254
PRUNUS "KWANZAN FLOWERING CHERRY" 2 10.5 32.917180013689254
PRUNUS "KWANZAN FLOWERING CHERRY" 2 3 22.77891854893908
PRUNUS "KWANZAN FLOWERING CHERRY" 2 18 32.9719370294319
PRUNUS "KWANZAN FLOWERING CHERRY" 3 19 32.98562628336756
PRUNUS "KWANZAN FLOWERING CHERRY" 2 15.75 32.98562628336756
PRUNUS "KWANZAN FLOWERING CHERRY" 3 24 32.97467488021903
PRUNUS "KWANZAN FLOWERING CHERRY" 2 16.25 32.97467488021903
PRUNUS "KWANZAN FLOWERING CHERRY" 2 15.5 32.917180013689254
PRUNUS "KWANZAN FLOWERING CHERRY" 2 10 32.878850102669404
PRUNUS "KWANZAN FLOWERING CHERRY" 2 18 32.9719370294319
PRUNUS "KWANZAN FLOWERING CHERRY" 2 15 32.9719370294319
PRUNUS "KWANZAN FLOWERING CHERRY" 2 14 32.9719370294319
PRUNUS "KWANZAN FLOWERING CHERRY" 2 16 32.97467488021903
PRUNUS "KWANZAN FLOWERING CHERRY" 2 14.5 32.98562628336756
PRUNUS "KWANZAN FLOWERING CHERRY" 3 10.5 32.97467488021903
PRUNUS "KWANZAN FLOWERING CHERRY" 3 12 15.545516769336071
PRUNUS "KWANZAN FLOWERING CHERRY" 2 8 32.91444216290212
PRUNUS "KWANZAN FLOWERING CHERRY" 2 4.5 32.91170431211499
PRUNUS "KWANZAN FLOWERING CHERRY" 2 4.5 32.91170431211499
PRUNUS "KWANZAN FLOWERING CHERRY" 2 5 32.91170431211499
PRUNUS "KWANZAN FLOWERING CHERRY" 2 10.75 32.91170431211499
PRUNUS "KWANZAN FLOWERING CHERRY" 2 24 32.91170431211499
PRUNUS "KWANZAN FLOWERING CHERRY" 2 27.75 32.91170431211499
PRUNUS "KWANZAN FLOWERING CHERRY" 2 5 32.89253935660506
PRUNUS "KWANZAN FLOWERING CHERRY" 2 4 32.89253935660506
